"V1" "V2" "V3" "V4"
"1" 476 491 0 1
"2" 476 491.191919191919 0 1
"3" 476 491.383838383838 0 1
"4" 476 491.575757575758 0 1
"5" 476 491.767676767677 0 1
"6" 476 491.959595959596 0 1
"7" 476 492.151515151515 0 1
"8" 476 492.343434343434 0 1
"9" 476 492.535353535354 0 1
"10" 476 492.727272727273 0 1
"11" 476 492.919191919192 0 1
"12" 476 493.111111111111 0 1
"13" 476 493.30303030303 0 1
"14" 476 493.494949494949 0 1
"15" 476 493.686868686869 0 1
"16" 476 493.878787878788 0 1
"17" 476 494.070707070707 0 1
"18" 476 494.262626262626 0 1
"19" 476 494.454545454545 0 1
"20" 476 494.646464646465 0 1
"21" 476 494.838383838384 0 1
"22" 476 495.030303030303 0 1
"23" 476 495.222222222222 0 1
"24" 476 495.414141414141 0 1
"25" 476 495.606060606061 0 1
"26" 476 495.79797979798 0 1
"27" 476 495.989898989899 0 1
"28" 476 496.181818181818 0 1
"29" 476 496.373737373737 0 1
"30" 476 496.565656565657 0 1
"31" 476 496.757575757576 0 1
"32" 476 496.949494949495 0 1
"33" 476 497.141414141414 0 1
"34" 476 497.333333333333 0 1
"35" 476 497.525252525253 0 1
"36" 476 497.717171717172 0 1
"37" 476 497.909090909091 0 1
"38" 476 498.10101010101 0 1
"39" 476 498.292929292929 0 1
"40" 476 498.484848484848 0 1
"41" 476 498.676767676768 0 1
"42" 476 498.868686868687 0 1
"43" 476 499.060606060606 0 1
"44" 476 499.252525252525 0.00125 0.99875
"45" 476 499.444444444444 0 1
"46" 476 499.636363636364 0 1
"47" 476 499.828282828283 0 1
"48" 476 500.020202020202 0 1
"49" 476 500.212121212121 0.00125 0.99875
"50" 476 500.40404040404 0 1
"51" 476 500.59595959596 0 1
"52" 476 500.787878787879 0 1
"53" 476 500.979797979798 0 1
"54" 476 501.171717171717 0 1
"55" 476 501.363636363636 0.0025 0.9975
"56" 476 501.555555555556 0.00125 0.99875
"57" 476 501.747474747475 0 1
"58" 476 501.939393939394 0 1
"59" 476 502.131313131313 0 1
"60" 476 502.323232323232 0 1
"61" 476 502.515151515152 0 1
"62" 476 502.707070707071 0 1
"63" 476 502.89898989899 0 1
"64" 476 503.090909090909 0 1
"65" 476 503.282828282828 0.00125 0.99875
"66" 476 503.474747474747 0.00125 0.99875
"67" 476 503.666666666667 0.00125 0.99875
"68" 476 503.858585858586 0 1
"69" 476 504.050505050505 0 1
"70" 476 504.242424242424 0 1
"71" 476 504.434343434343 0.00125 0.99875
"72" 476 504.626262626263 0.00125 0.99875
"73" 476 504.818181818182 0.00125 0.99875
"74" 476 505.010101010101 0 1
"75" 476 505.20202020202 0 1
"76" 476 505.393939393939 0 1
"77" 476 505.585858585859 0 1
"78" 476 505.777777777778 0 1
"79" 476 505.969696969697 0 1
"80" 476 506.161616161616 0 1
"81" 476 506.353535353535 0 1
"82" 476 506.545454545455 0 1
"83" 476 506.737373737374 0 1
"84" 476 506.929292929293 0 1
"85" 476 507.121212121212 0 1
"86" 476 507.313131313131 0 1
"87" 476 507.505050505051 0 1
"88" 476 507.69696969697 0 1
"89" 476 507.888888888889 0 1
"90" 476 508.080808080808 0 1
"91" 476 508.272727272727 0 1
"92" 476 508.464646464646 0 1
"93" 476 508.656565656566 0 1
"94" 476 508.848484848485 0 1
"95" 476 509.040404040404 0 1
"96" 476 509.232323232323 0 1
"97" 476 509.424242424242 0 1
"98" 476 509.616161616162 0 1
"99" 476 509.808080808081 0 1
"100" 476 510 0 1
"101" 476.494949494949 491 0 1
"102" 476.494949494949 491.191919191919 0 1
"103" 476.494949494949 491.383838383838 0 1
"104" 476.494949494949 491.575757575758 0 1
"105" 476.494949494949 491.767676767677 0 1
"106" 476.494949494949 491.959595959596 0 1
"107" 476.494949494949 492.151515151515 0 1
"108" 476.494949494949 492.343434343434 0 1
"109" 476.494949494949 492.535353535354 0 1
"110" 476.494949494949 492.727272727273 0 1
"111" 476.494949494949 492.919191919192 0 1
"112" 476.494949494949 493.111111111111 0 1
"113" 476.494949494949 493.30303030303 0 1
